id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
50785,0.0,2013-02-04,346.0,1996,427.0,35.2907992,-4.05969643,2669,0,0,9935.0,8,21,3,63,18,321,2,0,4.0,1345.0,1,2012,9,6,3,3,2,0,2,6,2,3,3,5,3,1,6,5
51630,0.0,2013-02-04,508.0,1569,443.0,36.65670893,-3.30921425,7473,0,5,6898.0,0,2,2,0,693,300,2,0,8.0,2571.0,1,2000,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
17168,0.0,2013-02-01,648.0,1567,457.0,34.76786315,-5.00434437,41112,0,0,13540.0,18,13,2,109,1792,500,2,0,8.0,2313.0,1,2010,9,6,3,7,4,0,2,6,2,2,2,5,3,1,6,5
45559,0.0,2013-01-22,444.0,267,546.0,38.05804609,-9.41867222,24064,0,7,7144.0,7,80,43,49,1283,250,2,0,8.0,1345.0,1,1987,9,6,3,7,4,6,6,6,2,0,0,7,5,0,6,5
49871,500.0,2013-03-27,151.0,1260,165.0,35.00612345,-10.950412,24521,0,7,9034.0,16,10,3,61,1157,60,2,0,11.0,158.0,1,2000,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
52449,0.0,2013-03-04,508.0,1685,443.0,36.68527855,-3.30242017,34034,0,5,10851.0,0,2,2,0,373,200,2,0,8.0,2610.0,1,1990,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
24806,0.0,2011-03-02,508.0,550,635.0,36.39804116,-7.54138236,45683,0,6,6209.0,3,11,7,34,997,600,2,0,8.0,1345.0,1,2007,4,2,1,7,4,0,2,4,4,1,1,3,0,0,4,3
28965,0.0,2013-01-25,445.0,234,567.0,39.60741997,-10.89378645,20031,0,7,3622.0,12,9,4,116,1128,1,2,0,11.0,193.0,1,1982,14,10,5,7,4,0,2,6,2,0,0,3,0,0,2,1
36301,30.0,2013-01-23,1962.0,584,1016.0,39.2629507,-10.82358805,23413,0,7,512.0,12,90,33,88,1311,40,2,0,8.0,1219.0,0,1997,3,1,0,7,4,4,5,6,2,2,2,8,6,0,1,1
54122,0.0,2013-03-18,873.0,1083,1044.0,37.09610836,-3.25175375,12679,0,5,2147.0,6,3,7,106,1903,1,2,0,11.0,44.0,1,2003,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
419,5.0,2013-10-03,487.0,1259,230.0,37.23324768,-3.24112116,9468,0,5,19065.0,6,3,5,16,955,75,2,0,11.0,1199.0,1,2006,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1
45750,0.0,2013-02-27,2109.0,608,2297.0,37.68639178,-4.55597478,43411,0,5,18752.0,8,21,4,108,1840,500,2,0,8.0,1345.0,1,2002,9,6,3,7,4,0,2,6,2,0,0,5,3,1,6,5
653,0.0,2012-10-11,2107.0,0,203.0,33.66107435,-4.16572015,25740,0,0,1953.0,19,14,2,19,446,0,2,0,3.0,2769.0,1,0,7,4,2,7,4,6,6,6,2,0,0,3,0,0,2,1
14017,0.0,2011-07-29,1091.0,0,443.0,33.00768032,-3.2095291,3460,0,4,3727.0,13,19,4,45,99,0,2,0,8.0,1699.0,1,0,7,4,2,7,4,4,5,6,2,1,1,3,0,0,2,1
44607,1000.0,2011-03-02,294.0,1625,384.0,35.61562385,-7.87029042,45683,0,6,21264.0,3,11,1,24,1369,1,2,0,8.0,1516.0,1,1984,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
40228,1200.0,2013-06-03,294.0,916,443.0,35.48288627,-10.91259619,11335,0,7,12743.0,16,10,2,111,1590,0,2,0,8.0,1790.0,1,1989,3,1,0,7,4,2,0,6,2,1,1,6,4,1,2,1
27714,0.0,2011-02-24,648.0,-39,457.0,39.85018977,-7.72794628,8018,0,6,266.0,14,6,6,53,530,900,2,0,8.0,1345.0,0,0,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3
28785,200.0,2011-03-11,508.0,1793,443.0,38.25402354,-4.5658016,32979,0,5,9840.0,20,4,1,52,1797,1,2,0,8.0,2484.0,1,1978,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
28330,0.0,2012-10-06,1590.0,0,443.0,31.58679783,-3.38780779,42672,0,3,928.0,17,17,5,9,1831,0,2,0,4.0,1345.0,1,0,3,1,0,3,2,6,6,6,2,3,3,5,3,1,1,1
18532,0.0,2013-02-02,445.0,368,567.0,39.43852591,-10.58336646,32375,0,7,8896.0,12,9,4,116,157,300,2,0,11.0,193.0,1,1982,14,10,5,7,4,0,2,6,2,0,0,3,0,0,1,1
69961,0.0,2013-03-12,1.0,-27,2.0,39.32230666,-6.85026202,43411,0,8,7386.0,1,7,3,119,2065,120,2,0,6.0,1345.0,0,2010,14,10,5,2,1,0,2,6,2,1,1,3,0,0,1,1
55083,0.0,2011-03-07,377.0,1674,443.0,34.94362033,-9.35251465,45683,0,6,11107.0,3,11,4,91,2086,30,2,0,8.0,1173.0,0,2008,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
8691,0.0,2013-02-04,1842.0,1087,443.0,31.04608844,-5.05419563,29605,0,3,6145.0,5,16,3,31,1391,1750,2,0,8.0,1345.0,1,2005,9,6,3,7,4,6,6,3,3,1,1,7,5,0,6,5
30331,0.0,2013-02-09,648.0,1441,457.0,34.62104755,-5.16592646,368,0,0,14128.0,18,13,2,109,1531,1,2,0,8.0,1202.0,1,1970,7,4,2,7,4,6,6,7,5,0,0,3,0,0,1,1
70970,0.0,2012-10-07,1197.0,0,443.0,33.72235857,-3.04712172,44461,0,4,2552.0,17,17,2,58,40,0,2,0,10.0,1345.0,0,0,8,5,1,11,4,0,2,6,2,1,1,7,5,0,4,3
61136,200.0,2011-02-23,1934.0,1726,443.0,34.92959242,-9.15287185,28627,0,6,13313.0,3,11,4,91,357,50,2,0,8.0,521.0,0,2008,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
28799,0.0,2013-02-18,483.0,986,443.0,35.42444315,-10.57968552,42905,0,7,9632.0,16,10,2,111,1072,0,2,0,8.0,1768.0,1,2009,3,1,0,7,4,0,2,6,2,0,0,6,4,1,1,1
46825,0.0,2011-04-10,2065.0,0,1180.0,35.89487669,-6.14752205,19232,0,8,1752.0,2,1,5,14,1411,0,2,0,8.0,505.0,0,0,7,4,2,7,4,4,5,4,4,0,0,3,0,0,2,1
44718,0.0,2013-02-04,385.0,0,443.0,0.0,-2e-08,39582,0,4,16984.0,17,17,1,5,904,0,2,0,10.0,1345.0,0,0,8,5,1,11,4,5,3,5,4,1,1,7,5,0,4,3
