TestDataID,Rating
1,4.13662
2,4.10595
3,4.0867
4,2.72546
5,3.60352
6,3.32566
7,4.45662
8,3.0521
9,3.31692
10,2.90383
11,4.05056
12,3.51187
13,3.26736
14,3.44298
15,3.17847
16,3.62856
17,3.72765
18,4.14062
19,3.95224
20,3.76686
21,3.95841
22,4.40315
23,3.83942
24,3.42984
25,3.55959
26,2.51345
27,3.44937
28,3.24884
29,1.76363
30,3.04728
31,2.62204
32,3.10338
33,3.1355
34,3.00487
35,4.42227
36,3.88302
37,3.81082
38,2.86846
39,3.47662
40,1.56299
41,3.29269
42,3.78974
43,2.71018
44,4.76405
45,3.80637
46,3.49928
47,3.33353
48,4.09913
49,3.45087
50,3.65909
51,4.02821
52,3.19997
53,4.30848
54,4.81134
55,4.2583
56,3.33426
57,4.0926
58,2.52348
59,3.98952
60,3.56679
61,3.38574
62,4.14311
63,4.07965
64,4.19611
65,4.32993
66,3.83293
67,3.89234
68,4.21114
69,3.30251
70,4.3809
71,3.36614
72,4.27666
73,3.12419
74,4.07302
75,2.92878
76,3.16929
77,4.32945
78,4.1801
79,4.30506
80,4.44309
81,4.31607
82,3.68305
83,4.50133
84,4.52242
85,4.71578
86,4.0326
87,4.45586
88,4.02468
89,3.93513
90,4.36286
91,4.26593
92,3.94583
93,4.07493
94,4.95953
95,4.40589
96,4.21704
97,4.33531
98,4.27886
99,4.33581
100,4.54425
101,3.81121
102,4.02783
103,4.61256
104,4.43173
105,3.64637
106,4.16853
107,4.00963
108,4.70046
109,3.72824
110,4.055
111,4.35614
112,4.4077
113,4.84221
114,3.54984
115,4.18212
116,2.75036
117,4.09843
118,3.03484
119,3.46553
120,2.73494
121,2.07964
122,3.41767
123,4.11214
124,2.87128
125,3.08706
126,4.61753
127,4.31006
128,4.30415
129,3.74099
130,3.00831
131,3.61558
132,4.27426
133,3.94337
134,4.02177
135,2.41514
136,3.89229
137,3.79553
138,4.10367
139,4.05821
140,3.09637
141,3.00147
142,3.42035
143,3.56529
144,3.2461
145,3.21764
146,3.02402
147,3.79277
148,4.11378
149,3.37101
150,3.08926
151,3.3952
152,3.73359
153,3.51267
154,2.48666
155,3.42396
156,3.1319
157,4.27144
158,4.06107
159,2.68622
160,4.13382
161,3.57699
162,3.15202
163,2.87617
164,2.64296
165,2.91321
166,3.22966
167,3.79725
168,3.97913
169,3.03841
170,4.69417
171,3.94637
172,4.3996
173,3.39036
174,4.65753
175,4.39041
176,4.35099
177,4.54968
178,4.79511
179,4.82956
180,3.0801
181,4.43286
182,4.63759
183,4.06146
184,3.39403
185,4.1091
186,4.27459
187,4.3462
188,3.28819
189,4.35951
190,4.38786
191,3.52334
192,4.06913
193,2.46607
194,4.70568
195,4.71054
196,2.97607
197,4.35244
198,4.49848
199,2.86558
200,4.47306
201,4.62368
202,4.57022
203,1.54492
204,4.12386
205,1.58727
206,3.17251
207,4.05865
208,4.44593
209,2.94926
210,4.39202
211,3.6512
212,3.74004
213,4.41111
214,2.09886
215,4.01275
216,2.23051
217,5
218,3.82007
219,4.17936
220,2.0352
221,4.91191
222,4.51559
223,4.78649
224,4.31676
225,3.2039
226,4.16884
227,1.18485
228,2.61182
229,2.40495
230,4.45585
231,3.94734
232,3.13808
233,4.31421
234,4.02201
235,3.03737
236,4.29601
237,4.27089
238,3.79715
239,3.49879
240,3.88412
241,3.49846
242,3.21496
243,3.47026
244,4.63144
245,4.29012
246,4.14264
247,3.63735
248,2.9658
249,3.64362
250,3.62534
251,3.45211
252,4.60606
253,2.88774
254,3.4305
255,2.70333
256,2.87167
257,2.92771
258,3.13605
259,3.02842
260,2.76256
261,2.71003
262,3.02313
263,2.76927
264,3.44781
265,1.94195
266,3.56323
267,3.83547
268,3.2814
269,3.76537
270,4.31702
271,3.14217
272,3.4657
273,2.78803
274,2.87079
275,3.73735
276,2.69364
277,2.70987
278,3.5878
279,3.18915
280,4.04555
281,3.52084
282,4.33177
283,3.59122
284,3.24691
285,3.59966
286,3.15267
287,2.86652
288,3.29886
289,3.12565
290,3.3863
291,2.99276
292,3.13958
293,3.03645
294,4.14821
295,3.11774
296,3.95879
297,3.30655
298,4.52944
299,4.15694
300,3.37845
301,3.57239
302,3.86056
303,3.59403
304,3.55403
305,3.27539
306,3.70431
307,3.18407
308,3.90628
309,3.41241
310,4.47582
311,3.5621
312,3.55532
313,3.29985
314,3.25175
315,3.46055
316,4.33132
317,2.91216
318,4.45256
